Filippino Word,English Word,Pronunciation,Example Context,Example English,Survival,Difficulty Level
Palasyo,Palace,pa-la-syo,Malaki ang palasyo ng hari.,The king's palace is huge.,,3
Palengke, Market, pa-leng-ke, Bumili siya ng prutas sa palengke., He bought fruits at the market.,1.0,3
Palit, Exchange, pa-lit,,,1.0,3
Pamahalaan, Government, pa-ma-ha-la-an, Mahalaga ang pamahalaan sa kaayusan ng bansa., The government is important for the country's order.,,4
Pamasahe, Fare, pa-ma-sa-he,,,1.0,3
Pamilya,Family,pa-mi-lya,Mahalaga ang pamilya sa buhay.,Family is important in life.,1.0,3
Paminta, Pepper, pa-min-ta,,,1.0,3
Panaginip, Dream (while sleeping), pa-na-gi-nip, Maganda ang panaginip ko kagabi., I had a good dream last night.,,3
Panahon, Weather/Time, pa-na-hon, Maganda ang panahon ngayon., The weather is nice today.,,3
Pangalan, Name, pa-nga-lan, Ano ang pangalan mo?, What is your name?,,3
Pangalawang, Second, pa-nga-la-wang, Ito ang kanyang pangalawang pagkakataon., This is his second chance.,,3
Panganib, Danger, pa-nga-nib,,,1.0,3
Pangarap, Dream, pa-nga-rap, Ang pangarap niya ay maging doktor., His dream is to become a doctor.,,3
Panginoon, God/Lord, pa-ngi-no-on, Nagdasal siya sa Panginoon., He prayed to the Lord.,,3
Pangkat, Group, pang-kat, May pangkat sila sa proyekto., They have a group for the project.,,3
Papel, Paper, pa-pel, Nagsusulat siya sa papel., He is writing on the paper.,,3
Pasensya na, Sorry, pa-sen-sya na,,,1.0,3
Pasko, Christmas, pas-ko, Malapit na ang Pasko!, Christmas is near!,,3
Patawad, Forgiveness, pa-ta-wad, Humingi siya ng patawad sa kanyang kaibigan., He asked for forgiveness from his friend.,,3
Patay, Dead, pa-tay, Patay na ang ilaw sa kwarto., The light in the room is off.,,3
Patuloy, Continue, pa-tu-loy, Patuloy ang kanyang pag-aaral., He continues his studies.,,3
Payapa,Peaceful,pa-ya-pa,Payapa ang umaga sa probinsya.,The morning in the province is peaceful.,,3
Pera, Money, pe-ra, Kailangan niya ng pera para sa pamasahe., He needs money for transportation fare.,1.0,1
Pinto, Door, pin-to, Pakisara ang pinto bago ka umalis., Please close the door before you leave.,1.0,3
Pito, Seven, pi-to,,,1.0,1
Polis, Police, po-lis,,,1.0,3
Presyo, Price, pres-yo,,,1.0,3
Prutas, Fruits, pru-tas,,,1.0,3
Pulis 1, Police, pu-lis,,,1.0,3
Pulis 2, Police station, pu-lis,,,1.0,3
Puno, Tree, pu-no, Malilim sa ilalim ng puno., It is shady under the tree.,,1
Punta, Go, pun-ta,,,1.0,3
Puso, Heart (organ), pu-so, Malakas ang tibok ng kanyang puso., His heart is beating fast.,,1
Pusong, Heart, pu-song, Mabuti ang kanyang pusong., His heart is kind.,,3
Pwede ba, Can I?, pwe-de ba,,,1.0,3
Quarantine, Quarantine, kwa-ran-tin, Kailangan ng quarantine pagkatapos ng biyahe., Quarantine is required after travel.,,3
Quezon, Quezon (place name), ke-zon, Nakatira siya sa Quezon City., He lives in Quezon City.,,3
Quibol,Fold,ki-bol,Huwag mong quibolin ang papel.,Do not fold the paper.,,3
Quilates, Carat (gold), ki-la-tes, Ang singsing niya ay may 24 quilates., His ring is 24 carats.,,3
Quimera,Fantasy,ki-me-ra,Ang kanyang quimera ay maging isang bituin.,His fantasy is to become a star.,,3
Quinta, Fifth, kin-ta, Siya ang pang-quinta sa pila., He is fifth in line.,,3
Quinto,Fifth,kin-to,Siya ang pang-Quinto sa pila.,He is the fifth in line.,,3
Quirida, Lover (mistress), ki-ri-da, May sikretong quirida ang lalaki., The man has a secret lover.,,2
Quisote, Sword, ki-so-te, May hawak siyang quisote sa laban., He is holding a sword in the battle.,,3
Quorum, Quorum, kwo-rum, Hindi umabot ang quorum sa pulong., The meeting did not reach a quorum.,,3
Radikal, Radical, ra-di-kal, Radikal ang kanyang pananaw sa pulitika., His views on politics are radical.,,3
Radyo, Radio, rad-yo, Nakikinig siya sa radyo tuwing umaga., He listens to the radio every morning.,,3
Raketa, Racket, ra-ke-ta, Gamit niya ang raketa sa badminton., He is using a racket for badminton.,,3
Rambutan, Rambutan (fruit), ram-bu-tan, Bumili siya ng rambutan sa palengke., He bought rambutan at the market.,,3
Ranggo, Rank, rang-go, Tumaas ang kanyang ranggo sa trabaho., His rank at work increased.,,3
Rason, Reason, ra-son, Ano ang rason ng iyong pag-alis?, What is the reason for your departure?,,3
Rasyon, Ration, ra-syon, May rasyon ng pagkain sa evacuation center., There is a food ration in the evacuation center.,,3
Regalo, Gift, re-ga-lo, Binuksan niya ang regalo sa kanyang kaarawan., He opened the gift on his birthday.,,3
Rehas, Bars (metal), re-has, Mataas ang rehas ng kulungan., The prison bars are high.,,3
Reklamo, Complaint, rek-la-mo, Nag-file siya ng reklamo laban sa kumpanya., He filed a complaint against the company.,,3
Relo, Watch/Clock, re-lo, Suot niya ang kanyang bagong relo., He is wearing his new watch.,,1
Reloj,Clock,re-loj,Malaki ang reloj sa opisina.,The clock in the office is big.,,3
Renta, Rent, ren-ta, Nagbayad siya ng renta sa bahay., He paid the house rent.,,3
Repasuhin,Review,re-pa-su-hin,Kailangan mong repasuhin ang iyong sagot.,You need to review your answer.,,3
Reporma, Reform, re-por-ma, May bagong reporma sa edukasyon., There is a new reform in education.,,3
Reseta, Prescription, re-se-ta, Binigyan siya ng doktor ng reseta., The doctor gave him a prescription.,,3
Resibo, Receipt, re-si-bo, Itabi mo ang resibo para sa refund., Keep the receipt for a refund.,,3
Respeto, Respect, res-pe-to, Dapat nating bigyan ng respeto ang matatanda., We should give respect to the elderly.,,3
Restawran, Restaurant, res-taw-ran,,,1.0,3
Ribon,Ribbon,ri-bon,May pulang ribon ang regalo niya.,His gift has a red ribbon.,,3
Ribyu, Review, rib-yu, Nag-ribyu siya para sa pagsusulit., He reviewed for the exam.,,3
Rikit, Beauty, ri-kit, Taglay niya ang likas na rikit., She possesses natural beauty.,,3
Riles, Railroad, ri-les, Dumaan ang tren sa riles., The train passed through the railroad.,,3
Risolba, Resolve, ri-sol-ba, Kailangan nating risolbahin ang problema., We need to resolve the problem.,,3
Ritmo, Rhythm, rit-mo, Maganda ang ritmo ng musika., The rhythm of the music is nice.,,3
Ronda, Patrol, ron-da, May ronda ang pulis tuwing gabi., The police patrol every night.,,3
Rosas, Rose, ro-sas, Maganda ang rosas sa hardin., The roses in the garden are beautiful.,,3
Rumaragasa, Rushing, ru-ma-ra-ga-sa, Rumaragasa ang tubig sa ilog., The water in the river is rushing.,,3
Rupok, Delicate, ru-pok, Maging maingat sa rupok na gamit., Be careful with the delicate items.,,3
Ruta, Route, ru-ta, Nagbago ang ruta ng bus., The bus route has changed.,,1
Saan, Where, sa-an,,,1.0,1
Sabado, Saturday, sa-ba-do,,,1.0,3
Sabay, Together, sa-bay, Sabay kaming kumain ng hapunan., We ate dinner together.,,3
Saging, Banana, sa-ging, Kumain siya ng saging sa almusal., He ate a banana for breakfast.,,3
Sahig, Floor, sa-hig, Malinis ang sahig ng bahay., The house floor is clean.,,3
Saing, Cooked rice, sa-ing, Malambot ang kanyang saing., His cooked rice is soft.,,3
Sakay, Ride, sa-kay,,,1.0,3
Sakit, Illness/Pain, sa-kit, May sakit siya kaya hindi pumasok sa trabaho., He is sick -  so he didn't go to work.,,3
Saklolo, Help!, sak-lo-lo,,,1.0,2
Salamat, Thank you, sa-la-mat, Salamat sa tulong mo!, Thank you for your help!,1.0,3
Salamin, Mirror/Glasses, sa-la-min, Gumamit siya ng salamin upang makita ang sarili., He used a mirror to see himself.,,3
Salo, Catch (receive), sa-lo, Nasalo niya ang bola., He caught the ball.,,1
Sama, Join, sa-ma, Pwede ba akong sama sa inyo?, Can I join you?,,1
Sampayan, Clothesline, sam-pa-yan, Ipinatong niya ang damit sa sampayan., He placed the clothes on the clothesline.,,3
Sampu, Ten, sam-pu,,,1.0,3
Sampung, Ten, sam-pung, May sampung estudyante sa klase., There are ten students in the class.,,3
Sandali, Moment, san-da-li, Hintay ka sandali., Wait for a moment.,,3
Sanggol, Baby, sang-gol, Mahal niya ang kanyang sanggol., He loves his baby.,,3
Sangkap, Ingredient, sang-kap, Ano ang sangkap ng ulam mo?, What are the ingredients in your dish?,,3
Sanhi, Cause, san-hi, Ano ang sanhi ng trapiko?, What is the cause of the traffic?,,3
Sapatos,Shoes,sa-pa-tos,Bago ang kanyang sapatos.,His shoes are new.,1.0,3
Sarado, Closed, sa-ra-do, Sarado na ang tindahan., The store is already closed.,,3
Sasakyan, Vehicle, sa-sak-yan,,,1.0,3
Sayaw, Dance, sa-yaw, Mahilig siyang sumayaw sa entablado., He loves dancing on stage.,,3
Sikap, Effort, si-kap, Kailangan ng sikap upang magtagumpay., Effort is needed to succeed.,,3
Sikat,Famous,si-kat,Sikat ang mang-aawit na ito.,This singer is famous.,,3
Sikreto, Secret, si-kre-to, May sikretong sinabi siya sa akin., He told me a secret.,,3
Sila, They, si-la,,,1.0,1
Silya, Chair, sil-ya,,,1.0,3
Simbahan, Church, sim-ba-han,,,1.0,3
Simula, Start, si-mu-la, Ang simula ng pelikula ay maganda., The start of the movie is good.,,3
Singil, Charge (fee), si-ngil, Tumaas ang singil sa kuryente., The electricity charge increased.,,3
Singsing, Ring, sing-sing, May singsing siya sa kanyang daliri., He has a ring on his finger.,,3
Sino, Who, si-no,,,1.0,1
Sipag, Diligence, si-pag, Kilala siya sa kanyang sipag sa trabaho., He is known for his diligence at work.,,3
Siya, He/She, si-ya,,,1.0,1
Siyam, Nine, si-yam,,,1.0,3
Sugat, Wound, su-gat, May sugat siya sa braso., He has a wound on his arm.,,3
Sukli, Change (from a payment), suk-li,,,1.0,3
Sulat, Letter/Writing, su-lat, Sumulat siya ng liham para sa kanyang ina., He wrote a letter to his mother.,,3
Sumbrero, Hat, sum-bre-ro, Suot niya ang kanyang sumbrero sa init ng araw., He is wearing his hat in the heat of the sun.,,3
Sundalo, Soldier, sun-da-lo, Matapang ang sundalo sa giyera., The soldier is brave in war.,,3
Sunog, Fire, su-nog,,,1.0,3
Susi, Key, su-si, Nawala ang susi ng bahay niya., He lost his house key.,1.0,1
Susian, Key, su-si-an,,,1.0,3
Suwerte, Luck, suer-te, Suwerte siya sa laro., He is lucky in the game.,,3
Tagalog,English,Pronunciation,Tagalog Example Sentence,English Translation,,3
Tag-init,Summer,tag-i-nit,Mainit tuwing tag-init.,It is hot during summer.,,3
Tahanan, Home, ta-ha-nan, Mahalaga ang tahanan sa bawat pamilya., Home is important to every family.,,3
Taho, Soy pudding, ta-ho, Bumili siya ng taho sa umaga., He bought soy pudding in the morning.,,1
Takbo,Run,tak-bo,Tumakbo siya sa paligsahan.,He ran in the competition.,1.0,3
Takot,Afraid,ta-kot,Takot siya sa dilim.,He is afraid of the dark.,1.0,3
Talaan, List, ta-la-an, May talaan ng gastusin sa bahay., There is a list of household expenses.,,3
Talaga, Really, ta-la-ga, Talaga bang aalis ka na?, Are you really leaving?,,3
Talino, Intelligence, ta-li-no, Mahusay ang kanyang talino sa matematika., His intelligence in math is excellent.,,3
Talong, Eggplant, ta-long, Gumawa siya ng tortang talong., He made eggplant omelet.,,3
Tama, Correct, ta-ma, Tama ang sagot mo sa pagsusulit., Your answer in the test is correct.,,1
Tamad, Lazy, ta-mad, Huwag kang tamad sa trabaho., Don't be lazy at work.,,3
Tambay, Loiter, tam-bay, Tambay lang siya sa kanto buong araw., He just loiters at the corner all day.,,3
Tanda, Sign/Old age, tan-da, May tanda siya ng karunungan., He has signs of wisdom.,,3
Tanghalian, Lunch, tang-ha-li-an, Masarap ang tanghalian namin sa bahay., Our lunch at home was delicious.,,3
Tanim, Planting, ta-nim, Mahilig siya sa pagtatanim ng gulay., He loves planting vegetables.,,3
Tanong, Question, ta-nong, May tanong ka ba tungkol sa aralin?, Do you have a question about the lesson?,,3
Tanso, Copper, tan-so, Ang tansong kawali ay matibay., The copper pan is durable.,,3
Tao, Person, ta-o, Maraming tao sa palengke., There are many people in the market.,1.0,1
Taon, Year, ta-on,,,1.0,1
Tapon, Throw, ta-pon,,,1.0,3
Tasa, Cup, ta-sa, Gamitin mo ang tasa para sa kape., Use the cup for coffee.,,1
Tatay, Father, ta-tay, Mahal ko ang aking tatay., I love my father.,1.0,3
Tatlo, Three, tat-lo,,,1.0,3
Tawa, Laugh, ta-wa,,,1.0,1
Tawag, Call, ta-wag, May tawag ka sa telepono., You have a call on the phone.,,3
Tawanan, Laughter, ta-wa-nan, Narinig ko ang tawanan nila sa kabilang kwarto., I heard their laughter from the other room.,,3
Tayo 1, We (including listener), ta-yo,,,1.0,3
Tayo 2, Stand, ta-yo,,,1.0,3
Telepono, Phone, te-le-po-no,,,1.0,3
Terminal, Terminal, ter-mi-nal,,,1.0,3
Tinapay, Bread, ti-na-pay,,,1.0,3
Tindahan,Store,tin-da-han,Bibili siya sa tindahan.,He will buy something at the store.,,3
Tingi, Retail/Small portion, tin-gi,,,1.0,3
Tren, Train, tren,,,1.0,1
Tricycle, Tricycle, tra-yi-si-kel,,,1.0,3
Tubig,Water,tu-big,Malinaw ang tubig sa ilog.,The water in the river is clear.,1.0,1
Tukso, Temptation, tuk-so, Lumayo siya sa tukso ng bisyo., He stayed away from the temptation of vices.,,3
Tuktok, Top, tuk-tok, Nasa tuktok ng bundok ang bahay nila., Their house is on top of the mountain.,,3
Tulad, Like, tu-lad, Tulad ng dati, Like before,,3
Tulay, Pathway, tu-lay, Ang edukasyon ang tulay sa magandang kinabukasan., Education is the pathway to a bright future.,,3
Tulog, Sleep, tu-log, Kailangan mo ng sapat na tulog., You need enough sleep.,1.0,3
Tulong, Help, tu-long,,,1.0,2
Tunog, Sound, tu-nog, Malakas ang tunog ng kulog., The sound of thunder is loud.,,3
Tupa, Sheep, tu-pa, May alagang tupa ang magsasaka., The farmer has a pet sheep.,,1
Ubas, Grapes, u-bas, Bumili siya ng ubas sa palengke., He bought grapes at the market.,,1
Ugat, Root, u-gat, Malalim ang ugat ng puno., The tree has deep roots.,,1
Uhaw,Thirsty,u-haw,Uhaw na uhaw siya pagkatapos maglaro.,He is very thirsty after playing.,1.0,1
Ulam, Viand (main dish), u-lam,,,1.0,1
Ulan, Rain, u-lan, Malakas ang ulan kaninang umaga., The rain was strong this morning.,,1
Ulap, Cloud, u-lap, Maitim ang ulap sa langit., The clouds in the sky are dark.,,1
Ulo, Head, u-lo, Masakit ang kanyang ulo buong araw., His head hurt all day.,,1
Umaapaw, Overflowing, u-ma-a-paw, Umaapaw ang tubig sa ilog., The river is overflowing.,,3
Umaaraw, Sunny, u-ma-a-raw, Umaaraw ngayon matapos ang mahabang ulan., It is sunny now after a long rain.,,3
Umaga, Morning, u-ma-ga, Magandang umaga!, Good morning!,,2
Umasa, Hope, u-ma-sa, Umasa siyang darating ang kanyang kaibigan., He hoped that his friend would arrive.,,3
Umay, Feeling fed up with food, u-may, Naumay siya sa pagkain ng matamis., He got fed up with eating sweets.,,1
Umiiyak, Cry, u-mi-i-yak,,,1.0,3
Umikot, Turn around, u-mi-kot, Umikot siya upang makita ang paligid., He turned around to see the surroundings.,,3
Umiwas, Avoid, u-mi-was, Umiwas siya sa away., He avoided the fight.,,3
Umiyak, Cry, u-mi-yak, Umiyak ang bata dahil nagutom siya., The baby cried because he was hungry.,,3
Umupo, Sit, u-mu-po, Umupo siya sa tabi ng kanyang ina., He sat beside his mother.,,3
Umuulan, Raining, u-mu-u-lan, Umuulan buong araw., It has been raining all day.,,3
Umuwi, Go home, u-mu-wi, Umuwi na siya pagkatapos ng klase., He went home after class.,,3
Una, First, u-na, Siya ang una sa pila., He is first in line.,,1
Unahan, Front, u-na-han, Nasa unahan ng klase ang matatalino., The smart students are at the front of the class.,,3
Unan, Pillow, u-nan, Malambot ang unan ko sa kama., My pillow on the bed is soft.,,1
Unawa, Understanding, u-na-wa, May malalim siyang unawa sa sitwasyon., He has a deep understanding of the situation.,,3
Unggoy,Monkey,ung-goy,Masayang naglalaro ang unggoy sa puno.,The monkey is happily playing in the tree.,,3
Ungol, Moan/Groan, u-ngol, Narinig niya ang mahina niyang ungol., He heard his weak groan.,,3
Uniporme, Uniform, u-ni-por-me, Nakasuot siya ng uniporme sa trabaho., He is wearing a uniform at work.,,3
Uod,Worm,u-od,May uod sa dahon.,There is a worm on the leaf.,,1
Upa, Rent, u-pa, Nagbayad siya ng upa sa bahay., He paid the rent for the house.,,1
Upo, Sit, u-po,,,1.0,1
Upuan, Chair, u-pu-an, Nakaupo siya sa kanyang upuan., He is sitting on his chair.,,3
Usap, Talk, u-sap, Kailangan natin mag-usap mamaya., We need to talk later.,,1
Usok, Smoke, u-sok, Makapal ang usok mula sa apoy., The smoke from the fire is thick.,,1
Uwi,Go home,u-wi,Uuwi na ako mamaya.,I will go home later.,,1
Vacante, Vacant, va-kan-te, Wala pang nakatira sa vacante na bahay., No one is living in the vacant house yet.,,3
Valedor,Protector,va-le-dor,Ang aking ama ang aking valedor.,My father is my protector.,,3
Valor, Courage, va-lor, Ipinakita niya ang kanyang valor sa laban., He showed his courage in battle.,,3
Vapor,Steam,va-por,Lumabas ang vapor mula sa kumukulong tubig.,Steam came out from the boiling water.,,3
Vaporub, Menthol rub, va-po-rub, Naglagay siya ng vaporub sa kanyang dibdib., He applied menthol rub on his chest.,,3
Vaseline, Petroleum jelly, va-se-lin, Ginamit niya ang Vaseline sa kanyang tuyong balat., He used Vaseline on his dry skin.,,3
Vaso,Glass,va-so,Puno ng tubig ang vaso.,The glass is full of water.,,1
Ventana,Window,ven-ta-na,Buksan mo ang ventana para pumasok ang hangin.,Open the window to let the air in.,,3
Verdad,Truth,ver-dad,Laging sabihin ang verdad.,Always tell the truth.,,3
Vestido,Dress,ves-ti-do,Maganda ang suot niyang vestido.,She is wearing a beautiful dress.,,3
Vidente, Seer, vi-den-te, Naniniwala siya sa sinabi ng vidente., He believes what the seer said.,,3
Villa, Villa, vil-ya, Nakatira sila sa isang malaking villa., They live in a big villa.,,3
Vino, Wine, vi-no, Uminom sila ng vino sa hapunan., They drank wine at dinner.,,1
Violente, Violent, vi-o-len-te, Iwasan natin ang mga violente na tao., Let's avoid violent people.,,3
Violin,Violin,vi-o-lin,Marunong siyang tumugtog ng violin.,He knows how to play the violin.,,3
Viral, Viral, vi-ral, Naging viral ang kanyang video., His video went viral.,,3
Visa, Visa, vi-sa, Kailangan niya ng visa para makabiyahe., He needs a visa to travel.,,1
Vitamin, Vitamin, vi-ta-min, Uminom siya ng vitamin araw-araw., He takes vitamins every day.,,3
Vocal, Vocal, vo-kal, Vocal siya tungkol sa kanyang opinyon., He is vocal about his opinion.,,3
Volante, Steering wheel, vo-lan-te, Hawak niya ang volante habang nagmamaneho., He is holding the steering wheel while driving.,,3
Voto, Vote, vo-to, Mahalaga ang iyong voto sa eleksyon., Your vote is important in the election.,,1
Wagas, Pure/True, wa-gas, Wagas ang kanyang pagmamahal., His love is pure.,,3
Wakas, End, wa-kas, Nakarating na tayo sa wakas ng kwento., We have reached the end of the story.,,3
Wala, None, wa-la, Wala siyang dalang pera ngayon., He has no money with him today.,,1
Walang, Without, wa-lang, Walang tubig sa gripo ngayon., There is no water in the faucet today.,,3
Walang anuman, You're welcome, wa-lang a-nu-man, masaya akong makatulong!, You're welcome -  I'm happy to help!,1.0,3
Walang-hanggan,Eternal,wa-lang hang-gan,Ang pag-ibig ng Diyos ay walang-hanggan.,God's love is eternal.,,3
Walanghiya, Shameless, wa-lang-hi-ya, Walanghiya ang taong nagsinungaling., The person who lied is shameless.,,3
Walang-kibo, Silent, wa-lang-ki-bo, Nananatiling walang-kibo ang bata., The child remains silent.,,3
Walang-laban,Defenseless,wa-lang la-ban,Ang bata ay walang-laban sa panganib.,The child is defenseless against danger.,,3
Walang-malay, Unconscious/Innocent, wa-lang-ma-lay, Walang-malay ang sanggol sa mundo., The baby is innocent about the world.,,3
Walang-pakialam, Indifferent, wa-lang-pa-ki-a-lam, Walang-pakialam siya sa problema ng iba., He is indifferent to the problems of others.,,3
Walang-saysay, Meaningless, wa-lang-say-say, Walang-saysay ang kanyang mga sinabi., His words are meaningless.,,3
Walang-tigil, Non-stop, wa-lang-ti-gil, Walang-tigil ang ulan buong araw., The rain was non-stop the whole day.,,3
Walang-tulog,Sleepless,wa-lang tu-log,Walang-tulog siya kagabi dahil sa trabaho.,He was sleepless last night because of work.,,3
Walis, Broom, wa-lis, Ginamit niya ang walis sa paglilinis ng sahig., He used a broom to clean the floor.,,3
Walo, Eight, wa-lo,,,1.0,1
Walong, Eight, wa-long, May walong bisita sa bahay namin., There are eight visitors in our house.,,3
Walongpung, Eighty, wa-long-pung, May walongpung estudyante sa paaralan., There are eighty students in the school.,,3
Wasto, Correct, was-to, Wasto ang kanyang sagot sa tanong., His answer to the question is correct.,,3
Watawat, Flag, wa-ta-wat, Itaas natin ang watawat ng Pilipinas., Let's raise the flag of the Philippines.,,3
Wisik, Sprinkle, wi-sik, Wisikan mo ng tubig ang halaman., Sprinkle water on the plant.,,3
Xenon,A type of gas,xe-non,Ginagamit ang xenon sa ilaw ng sasakyan.,Xenon is used in car lights.,,3
Xenophobia, Fear of foreigners, ze-no-fo-bya, Ang xenophobia ay hindi maganda sa isang lipunan., Xenophobia is not good for a society.,,3
Xerox, Photocopy, ze-roks, Nagpa-Xerox siya ng kanyang dokumento., He had his document photocopied.,,3
X-ray, X-ray, eks-rey, Kinailangan niyang magpa-X-ray sa ospital., He needed to get an X-ray at the hospital.,,3
Xylitol, Sugar substitute, zai-li-tol, Gumagamit siya ng xylitol bilang pampatamis., He uses xylitol as a sweetener.,,3
Xylophone,Xylophone,ksi-lo-pon,Ang bata ay nagpatugtog ng xylophone.,The child played the xylophone.,,3
Yabong, Flourish, ya-bong, Yumayabong ang kanyang halaman sa hardin., His plants in the garden are flourishing.,,3
Yakap, Hug, ya-kap, Mahigpit ang yakap ng bata sa kanyang ina., The child's hug to his mother is tight.,,3
Yaman, Wealth, ya-man, Ang tunay na yaman ay ang pamilya., True wealth is family.,,3
Yapos, Embrace, ya-pos, Ibinigay niya ang mainit na yapos sa kanyang anak., He gave a warm embrace to his child.,,3
Yari, Made of, ya-ri, Ang bahay nila ay yari sa kahoy., Their house is made of wood.,,1
Yate, Yacht, ya-te, Sumakay sila sa yate sa dagat., They rode the yacht on the sea.,,1
Yaya, Nanny, ya-ya, Mahalaga ang yaya sa pag-aalaga ng bata., The nanny is important in taking care of the child.,,1
Yelo,Ice,ye-lo,Matigas ang yelo sa baso.,The ice in the glass is hard.,,1
Yelo tubig, Ice water, ye-lo tu-big, Uminom siya ng yelo tubig para lumamig., He drank ice water to cool down.,,3
Yugto, Stage (phase) / Chapter, yug-to, Nasa bagong yugto siya ng kanyang buhay., He is in a new stage of his life.,,3
Yuko,Bow,yu-ko,Yumuko siya bilang tanda ng respeto.,He bowed as a sign of respect.,,1
Yumuko, Bowed, yu-mu-ko, Yumuko siya bilang respeto., He bowed as a sign of respect.,,3
Zapatos, Shoes, za-pa-tos, Suot niya ang kanyang bagong zapatos., He is wearing his new shoes.,,3
Zebra,Zebra,ze-bra,May zebra sa zoo.,There is a zebra in the zoo.,,3
Zen,Peaceful state,zen,Gusto ko ng zen sa buhay ko.,I want peace in my life.,,1
Zero, Zero, ze-ro, Ang temperatura ay bumaba sa zero., The temperature dropped to zero.,,1
Zinc,Zinc,zink,Mahalaga ang zinc sa katawan.,Zinc is important for the body.,,1
Zipper,Zipper,zi-per,Nasira ang zipper ng jacket ko.,The zipper of my jacket is broken.,,3
Zodiak, Zodiac, zo-di-ak, Ano ang iyong tanda sa zodiak?, What is your zodiac sign?,,3
Zona, Zone, zo-na, Nakatira siya sa tahimik na zona ng lungsod., He lives in a quiet zone of the city.,,1
Zumba, Zumba, zum-ba, Sumasali siya sa zumba tuwing umaga., He joins zumba every morning.,,3
