Filippino Word,English Word,Pronunciation,Example Context,Example English,Survival
Riles, Railroad, ri-les, Dumaan ang tren sa riles., The train passed through the railroad.,
Risolba, Resolve, ri-sol-ba, Kailangan nating risolbahin ang problema., We need to resolve the problem.,
Ritmo, Rhythm, rit-mo, Maganda ang ritmo ng musika., The rhythm of the music is nice.,
Ronda, Patrol, ron-da, May ronda ang pulis tuwing gabi., The police patrol every night.,
Rosas, Rose, ro-sas, Maganda ang rosas sa hardin., The roses in the garden are beautiful.,
Rumaragasa, Rushing, ru-ma-ra-ga-sa, Rumaragasa ang tubig sa ilog., The water in the river is rushing.,
Rupok, Delicate, ru-pok, Maging maingat sa rupok na gamit., Be careful with the delicate items.,
Ruta, Route, ru-ta, Nagbago ang ruta ng bus., The bus route has changed.,
Saan, Where, sa-an,,,1
Sabado, Saturday, sa-ba-do,,,1
Sabay, Together, sa-bay, Sabay kaming kumain ng hapunan., We ate dinner together.,
Saging, Banana, sa-ging, Kumain siya ng saging sa almusal., He ate a banana for breakfast.,
Sahig, Floor, sa-hig, Malinis ang sahig ng bahay., The house floor is clean.,
Saing, Cooked rice, sa-ing, Malambot ang kanyang saing., His cooked rice is soft.,
Sakay, Ride, sa-kay,,,1
Sakit, Illness/Pain, sa-kit, May sakit siya kaya hindi pumasok sa trabaho., He is sick -  so he didn't go to work.,
Saklolo, Help!, sak-lo-lo,,,1
Salamat, Thank you, sa-la-mat, Salamat sa tulong mo!, Thank you for your help!,1
Salamin, Mirror/Glasses, sa-la-min, Gumamit siya ng salamin upang makita ang sarili., He used a mirror to see himself.,
Salo, Catch (receive), sa-lo, Nasalo niya ang bola., He caught the ball.,
Sama, Join, sa-ma, Pwede ba akong sama sa inyo?, Can I join you?,
Sampayan, Clothesline, sam-pa-yan, Ipinatong niya ang damit sa sampayan., He placed the clothes on the clothesline.,
Sampu, Ten, sam-pu,,,1
Sampung, Ten, sam-pung, May sampung estudyante sa klase., There are ten students in the class.,
Sandali, Moment, san-da-li, Hintay ka sandali., Wait for a moment.,
Sanggol, Baby, sang-gol, Mahal niya ang kanyang sanggol., He loves his baby.,
Sangkap, Ingredient, sang-kap, Ano ang sangkap ng ulam mo?, What are the ingredients in your dish?,
Sanhi, Cause, san-hi, Ano ang sanhi ng trapiko?, What is the cause of the traffic?,
Sapatos,Shoes,sa-pa-tos,Bago ang kanyang sapatos.,His shoes are new.,1
Sarado, Closed, sa-ra-do, Sarado na ang tindahan., The store is already closed.,
Sasakyan, Vehicle, sa-sak-yan,,,1
Sayaw, Dance, sa-yaw, Mahilig siyang sumayaw sa entablado., He loves dancing on stage.,
Sikap, Effort, si-kap, Kailangan ng sikap upang magtagumpay., Effort is needed to succeed.,
Sikat,Famous,si-kat,Sikat ang mang-aawit na ito.,This singer is famous.,
Sikreto, Secret, si-kre-to, May sikretong sinabi siya sa akin., He told me a secret.,
Sila, They, si-la,,,1
Silya, Chair, sil-ya,,,1
Simbahan, Church, sim-ba-han,,,1
Simula, Start, si-mu-la, Ang simula ng pelikula ay maganda., The start of the movie is good.,
Singil, Charge (fee), si-ngil, Tumaas ang singil sa kuryente., The electricity charge increased.,
Singsing, Ring, sing-sing, May singsing siya sa kanyang daliri., He has a ring on his finger.,
Sino, Who, si-no,,,1
Sipag, Diligence, si-pag, Kilala siya sa kanyang sipag sa trabaho., He is known for his diligence at work.,
Siya, He/She, si-ya,,,1
Siyam, Nine, si-yam,,,1
Sugat, Wound, su-gat, May sugat siya sa braso., He has a wound on his arm.,
Sukli, Change (from a payment), suk-li,,,1
Sulat, Letter/Writing, su-lat, Sumulat siya ng liham para sa kanyang ina., He wrote a letter to his mother.,
Sumbrero, Hat, sum-bre-ro, Suot niya ang kanyang sumbrero sa init ng araw., He is wearing his hat in the heat of the sun.,
Sundalo, Soldier, sun-da-lo, Matapang ang sundalo sa giyera., The soldier is brave in war.,
Sunog, Fire, su-nog,,,1
Susi, Key, su-si, Nawala ang susi ng bahay niya., He lost his house key.,1
Susian, Key, su-si-an,,,1
Suwerte, Luck, suer-te, Suwerte siya sa laro., He is lucky in the game.,
Tagalog,English,Pronunciation,Tagalog Example Sentence,English Translation,
Tag-init,Summer,tag-i-nit,Mainit tuwing tag-init.,It is hot during summer.,
Tahanan, Home, ta-ha-nan, Mahalaga ang tahanan sa bawat pamilya., Home is important to every family.,
Taho, Soy pudding, ta-ho, Bumili siya ng taho sa umaga., He bought soy pudding in the morning.,
Takbo,Run,tak-bo,Tumakbo siya sa paligsahan.,He ran in the competition.,1
Takot,Afraid,ta-kot,Takot siya sa dilim.,He is afraid of the dark.,1
Talaan, List, ta-la-an, May talaan ng gastusin sa bahay., There is a list of household expenses.,
Talaga, Really, ta-la-ga, Talaga bang aalis ka na?, Are you really leaving?,
Talino, Intelligence, ta-li-no, Mahusay ang kanyang talino sa matematika., His intelligence in math is excellent.,
Talong, Eggplant, ta-long, Gumawa siya ng tortang talong., He made eggplant omelet.,
Tama, Correct, ta-ma, Tama ang sagot mo sa pagsusulit., Your answer in the test is correct.,
Tamad, Lazy, ta-mad, Huwag kang tamad sa trabaho., Don't be lazy at work.,
Tambay, Loiter, tam-bay, Tambay lang siya sa kanto buong araw., He just loiters at the corner all day.,
Tanda, Sign/Old age, tan-da, May tanda siya ng karunungan., He has signs of wisdom.,
Tanghalian, Lunch, tang-ha-li-an, Masarap ang tanghalian namin sa bahay., Our lunch at home was delicious.,
Tanim, Planting, ta-nim, Mahilig siya sa pagtatanim ng gulay., He loves planting vegetables.,
Tanong, Question, ta-nong, May tanong ka ba tungkol sa aralin?, Do you have a question about the lesson?,
Tanso, Copper, tan-so, Ang tansong kawali ay matibay., The copper pan is durable.,
Tao, Person, ta-o, Maraming tao sa palengke., There are many people in the market.,1
Taon, Year, ta-on,,,1
Tapon, Throw, ta-pon,,,1
Tasa, Cup, ta-sa, Gamitin mo ang tasa para sa kape., Use the cup for coffee.,
Tatay, Father, ta-tay, Mahal ko ang aking tatay., I love my father.,1
Tatlo, Three, tat-lo,,,1
Tawa, Laugh, ta-wa,,,1
Tawag, Call, ta-wag, May tawag ka sa telepono., You have a call on the phone.,
Tawanan, Laughter, ta-wa-nan, Narinig ko ang tawanan nila sa kabilang kwarto., I heard their laughter from the other room.,
Tayo 1, We (including listener), ta-yo,,,1
Tayo 2, Stand, ta-yo,,,1
Telepono, Phone, te-le-po-no,,,1
Terminal, Terminal, ter-mi-nal,,,1
Tinapay, Bread, ti-na-pay,,,1
Tindahan,Store,tin-da-han,Bibili siya sa tindahan.,He will buy something at the store.,
Tingi, Retail/Small portion, tin-gi,,,1
Tren, Train, tren,,,1
Tricycle, Tricycle, tra-yi-si-kel,,,1
Tubig,Water,tu-big,Malinaw ang tubig sa ilog.,The water in the river is clear.,1
Tukso, Temptation, tuk-so, Lumayo siya sa tukso ng bisyo., He stayed away from the temptation of vices.,
Tuktok, Top, tuk-tok, Nasa tuktok ng bundok ang bahay nila., Their house is on top of the mountain.,
Tulad, Like, tu-lad, Tulad ng dati, Like before,
Tulay, Pathway, tu-lay, Ang edukasyon ang tulay sa magandang kinabukasan., Education is the pathway to a bright future.,
Tulog, Sleep, tu-log, Kailangan mo ng sapat na tulog., You need enough sleep.,1
Tulong, Help, tu-long,,,1
Tunog, Sound, tu-nog, Malakas ang tunog ng kulog., The sound of thunder is loud.,
Tupa, Sheep, tu-pa, May alagang tupa ang magsasaka., The farmer has a pet sheep.,
Ubas, Grapes, u-bas, Bumili siya ng ubas sa palengke., He bought grapes at the market.,
Ugat, Root, u-gat, Malalim ang ugat ng puno., The tree has deep roots.,
Uhaw,Thirsty,u-haw,Uhaw na uhaw siya pagkatapos maglaro.,He is very thirsty after playing.,1
Ulam, Viand (main dish), u-lam,,,1
Ulan, Rain, u-lan, Malakas ang ulan kaninang umaga., The rain was strong this morning.,
Ulap, Cloud, u-lap, Maitim ang ulap sa langit., The clouds in the sky are dark.,
Ulo, Head, u-lo, Masakit ang kanyang ulo buong araw., His head hurt all day.,
Umaapaw, Overflowing, u-ma-a-paw, Umaapaw ang tubig sa ilog., The river is overflowing.,
Umaaraw, Sunny, u-ma-a-raw, Umaaraw ngayon matapos ang mahabang ulan., It is sunny now after a long rain.,
Umaga, Morning, u-ma-ga, Magandang umaga!, Good morning!,
Umasa, Hope, u-ma-sa, Umasa siyang darating ang kanyang kaibigan., He hoped that his friend would arrive.,
Umay, Feeling fed up with food, u-may, Naumay siya sa pagkain ng matamis., He got fed up with eating sweets.,
Umiiyak, Cry, u-mi-i-yak,,,1
Umikot, Turn around, u-mi-kot, Umikot siya upang makita ang paligid., He turned around to see the surroundings.,
Umiwas, Avoid, u-mi-was, Umiwas siya sa away., He avoided the fight.,
Umiyak, Cry, u-mi-yak, Umiyak ang bata dahil nagutom siya., The baby cried because he was hungry.,
Umupo, Sit, u-mu-po, Umupo siya sa tabi ng kanyang ina., He sat beside his mother.,
Umuulan, Raining, u-mu-u-lan, Umuulan buong araw., It has been raining all day.,
Umuwi, Go home, u-mu-wi, Umuwi na siya pagkatapos ng klase., He went home after class.,
Una, First, u-na, Siya ang una sa pila., He is first in line.,
Unahan, Front, u-na-han, Nasa unahan ng klase ang matatalino., The smart students are at the front of the class.,
Unan, Pillow, u-nan, Malambot ang unan ko sa kama., My pillow on the bed is soft.,
Unawa, Understanding, u-na-wa, May malalim siyang unawa sa sitwasyon., He has a deep understanding of the situation.,
Unggoy,Monkey,ung-goy,Masayang naglalaro ang unggoy sa puno.,The monkey is happily playing in the tree.,
Ungol, Moan/Groan, u-ngol, Narinig niya ang mahina niyang ungol., He heard his weak groan.,
Uniporme, Uniform, u-ni-por-me, Nakasuot siya ng uniporme sa trabaho., He is wearing a uniform at work.,
Uod,Worm,u-od,May uod sa dahon.,There is a worm on the leaf.,
Upa, Rent, u-pa, Nagbayad siya ng upa sa bahay., He paid the rent for the house.,
Upo, Sit, u-po,,,1
Upuan, Chair, u-pu-an, Nakaupo siya sa kanyang upuan., He is sitting on his chair.,
Usap, Talk, u-sap, Kailangan natin mag-usap mamaya., We need to talk later.,
Usok, Smoke, u-sok, Makapal ang usok mula sa apoy., The smoke from the fire is thick.,
Uwi,Go home,u-wi,Uuwi na ako mamaya.,I will go home later.,
Vacante, Vacant, va-kan-te, Wala pang nakatira sa vacante na bahay., No one is living in the vacant house yet.,
Valedor,Protector,va-le-dor,Ang aking ama ang aking valedor.,My father is my protector.,
Valor, Courage, va-lor, Ipinakita niya ang kanyang valor sa laban., He showed his courage in battle.,
Vapor,Steam,va-por,Lumabas ang vapor mula sa kumukulong tubig.,Steam came out from the boiling water.,
Vaporub, Menthol rub, va-po-rub, Naglagay siya ng vaporub sa kanyang dibdib., He applied menthol rub on his chest.,
Vaseline, Petroleum jelly, va-se-lin, Ginamit niya ang Vaseline sa kanyang tuyong balat., He used Vaseline on his dry skin.,
Vaso,Glass,va-so,Puno ng tubig ang vaso.,The glass is full of water.,
Ventana,Window,ven-ta-na,Buksan mo ang ventana para pumasok ang hangin.,Open the window to let the air in.,
Verdad,Truth,ver-dad,Laging sabihin ang verdad.,Always tell the truth.,
Vestido,Dress,ves-ti-do,Maganda ang suot niyang vestido.,She is wearing a beautiful dress.,
Vidente, Seer, vi-den-te, Naniniwala siya sa sinabi ng vidente., He believes what the seer said.,
Villa, Villa, vil-ya, Nakatira sila sa isang malaking villa., They live in a big villa.,
Vino, Wine, vi-no, Uminom sila ng vino sa hapunan., They drank wine at dinner.,
Violente, Violent, vi-o-len-te, Iwasan natin ang mga violente na tao., Let's avoid violent people.,
Violin,Violin,vi-o-lin,Marunong siyang tumugtog ng violin.,He knows how to play the violin.,
Viral, Viral, vi-ral, Naging viral ang kanyang video., His video went viral.,
Visa, Visa, vi-sa, Kailangan niya ng visa para makabiyahe., He needs a visa to travel.,
Vitamin, Vitamin, vi-ta-min, Uminom siya ng vitamin araw-araw., He takes vitamins every day.,
Vocal, Vocal, vo-kal, Vocal siya tungkol sa kanyang opinyon., He is vocal about his opinion.,
Volante, Steering wheel, vo-lan-te, Hawak niya ang volante habang nagmamaneho., He is holding the steering wheel while driving.,
Voto, Vote, vo-to, Mahalaga ang iyong voto sa eleksyon., Your vote is important in the election.,
Wagas, Pure/True, wa-gas, Wagas ang kanyang pagmamahal., His love is pure.,
Wakas, End, wa-kas, Nakarating na tayo sa wakas ng kwento., We have reached the end of the story.,
Wala, None, wa-la, Wala siyang dalang pera ngayon., He has no money with him today.,
Walang, Without, wa-lang, Walang tubig sa gripo ngayon., There is no water in the faucet today.,
Walang anuman, You're welcome, wa-lang a-nu-man, masaya akong makatulong!, You're welcome -  I'm happy to help!,1
Walang-hanggan,Eternal,wa-lang hang-gan,Ang pag-ibig ng Diyos ay walang-hanggan.,God's love is eternal.,
Walanghiya, Shameless, wa-lang-hi-ya, Walanghiya ang taong nagsinungaling., The person who lied is shameless.,
Walang-kibo, Silent, wa-lang-ki-bo, Nananatiling walang-kibo ang bata., The child remains silent.,
Walang-laban,Defenseless,wa-lang la-ban,Ang bata ay walang-laban sa panganib.,The child is defenseless against danger.,
Walang-malay, Unconscious/Innocent, wa-lang-ma-lay, Walang-malay ang sanggol sa mundo., The baby is innocent about the world.,
Walang-pakialam, Indifferent, wa-lang-pa-ki-a-lam, Walang-pakialam siya sa problema ng iba., He is indifferent to the problems of others.,
Walang-saysay, Meaningless, wa-lang-say-say, Walang-saysay ang kanyang mga sinabi., His words are meaningless.,
Walang-tigil, Non-stop, wa-lang-ti-gil, Walang-tigil ang ulan buong araw., The rain was non-stop the whole day.,
Walang-tulog,Sleepless,wa-lang tu-log,Walang-tulog siya kagabi dahil sa trabaho.,He was sleepless last night because of work.,
Walis, Broom, wa-lis, Ginamit niya ang walis sa paglilinis ng sahig., He used a broom to clean the floor.,
Walo, Eight, wa-lo,,,1
Walong, Eight, wa-long, May walong bisita sa bahay namin., There are eight visitors in our house.,
Walongpung, Eighty, wa-long-pung, May walongpung estudyante sa paaralan., There are eighty students in the school.,
Wasto, Correct, was-to, Wasto ang kanyang sagot sa tanong., His answer to the question is correct.,
Watawat, Flag, wa-ta-wat, Itaas natin ang watawat ng Pilipinas., Let's raise the flag of the Philippines.,
Wisik, Sprinkle, wi-sik, Wisikan mo ng tubig ang halaman., Sprinkle water on the plant.,
Xenon,A type of gas,xe-non,Ginagamit ang xenon sa ilaw ng sasakyan.,Xenon is used in car lights.,
Xenophobia, Fear of foreigners, ze-no-fo-bya, Ang xenophobia ay hindi maganda sa isang lipunan., Xenophobia is not good for a society.,
Xerox, Photocopy, ze-roks, Nagpa-Xerox siya ng kanyang dokumento., He had his document photocopied.,
X-ray, X-ray, eks-rey, Kinailangan niyang magpa-X-ray sa ospital., He needed to get an X-ray at the hospital.,
Xylitol, Sugar substitute, zai-li-tol, Gumagamit siya ng xylitol bilang pampatamis., He uses xylitol as a sweetener.,
Xylophone,Xylophone,ksi-lo-pon,Ang bata ay nagpatugtog ng xylophone.,The child played the xylophone.,
Yabong, Flourish, ya-bong, Yumayabong ang kanyang halaman sa hardin., His plants in the garden are flourishing.,
Yakap, Hug, ya-kap, Mahigpit ang yakap ng bata sa kanyang ina., The child's hug to his mother is tight.,
Yaman, Wealth, ya-man, Ang tunay na yaman ay ang pamilya., True wealth is family.,
Yapos, Embrace, ya-pos, Ibinigay niya ang mainit na yapos sa kanyang anak., He gave a warm embrace to his child.,
Yari, Made of, ya-ri, Ang bahay nila ay yari sa kahoy., Their house is made of wood.,
Yate, Yacht, ya-te, Sumakay sila sa yate sa dagat., They rode the yacht on the sea.,
Yaya, Nanny, ya-ya, Mahalaga ang yaya sa pag-aalaga ng bata., The nanny is important in taking care of the child.,
Yelo,Ice,ye-lo,Matigas ang yelo sa baso.,The ice in the glass is hard.,
Yelo tubig, Ice water, ye-lo tu-big, Uminom siya ng yelo tubig para lumamig., He drank ice water to cool down.,
Yugto, Stage (phase) / Chapter, yug-to, Nasa bagong yugto siya ng kanyang buhay., He is in a new stage of his life.,
Yuko,Bow,yu-ko,Yumuko siya bilang tanda ng respeto.,He bowed as a sign of respect.,
Yumuko, Bowed, yu-mu-ko, Yumuko siya bilang respeto., He bowed as a sign of respect.,
Zapatos, Shoes, za-pa-tos, Suot niya ang kanyang bagong zapatos., He is wearing his new shoes.,
Zebra,Zebra,ze-bra,May zebra sa zoo.,There is a zebra in the zoo.,
Zen,Peaceful state,zen,Gusto ko ng zen sa buhay ko.,I want peace in my life.,
Zero, Zero, ze-ro, Ang temperatura ay bumaba sa zero., The temperature dropped to zero.,
Zinc,Zinc,zink,Mahalaga ang zinc sa katawan.,Zinc is important for the body.,
Zipper,Zipper,zi-per,Nasira ang zipper ng jacket ko.,The zipper of my jacket is broken.,
Zodiak, Zodiac, zo-di-ak, Ano ang iyong tanda sa zodiak?, What is your zodiac sign?,
Zona, Zone, zo-na, Nakatira siya sa tahimik na zona ng lungsod., He lives in a quiet zone of the city.,
Zumba, Zumba, zum-ba, Sumasali siya sa zumba tuwing umaga., He joins zumba every morning.,
